Designator,Mid X,Mid Y,Rotation,Layer
D1,90.4875,-56.1975,90.0,bottom
D10,109.5375,-94.2975,90.0,bottom
D11,128.5875,-94.2975,90.0,bottom
D12,147.6375,-94.2975,90.0,bottom
D2,109.5375,-56.1975,90.0,bottom
D3,128.5875,-56.1975,90.0,bottom
D4,147.6375,-56.1975,90.0,bottom
D5,90.4875,-75.2475,90.0,bottom
D6,109.5375,-75.2475,90.0,bottom
D7,128.5875,-75.2475,90.0,bottom
D8,147.6375,-75.2475,90.0,bottom
D9,90.4875,-94.2975,90.0,bottom
S1,81.28,-54.985,0.0,top
S10,100.33,-93.085,0.0,top
S11,119.38,-93.085,0.0,top
S12,138.43,-93.085,0.0,top
S2,100.33,-54.985,0.0,top
S3,119.38,-54.985,0.0,top
S4,138.43,-54.985,0.0,top
S5,81.28,-74.035,0.0,top
S6,100.33,-74.035,0.0,top
S7,119.38,-74.035,0.0,top
S8,138.43,-74.035,0.0,top
S9,81.28,-93.085,0.0,top
U1,88.10625,-38.1,90.0,top
